volatility,trend_strength,direction_density,price_position_pct,range_3h_pct,range_48h_pct,range_weekly_pct,momentum_1d,momentum_3d,momentum_7d,momentum_strength,zone_high_time_pct,zone_low_time_pct,zone_imbalance,maximos_strength,minimos_strength,extremes_count_max,extremes_count_min,wickdowns_count_3h,wickups_count_3h,total_wicks_3h,strongest_wick_pct,wick_activity_ratio,cycles_count,cycles_quality_avg,cycle_consistency,regime_high_volatility,regime_low_volatility,regime_trending,regime_choppy_ranging,regime_smooth_ranging,maximos_crecientes,maximos_decrecientes,maximos_estables,minimos_crecientes,minimos_decrecientes,minimos_estables,momentum_alcista,momentum_bajista,momentum_neutral,cycle_direction_alcista,cycle_direction_bajista,cycle_direction_lateral,zone_pressure_high,zone_pressure_low,zone_pressure_balanced,extremes_alignment,market_stress,trend_momentum_alignment,wick_threshold_used,stability_threshold_used,max_time_used,avg_window_size,timestamp,symbol,regime,maximos_trend,minimos_trend,momentum_direction,zone_pressure,dominant_cycle_direction
2.41,0.958,50.268,82.4282013382286,0.6295463503780341,5.975381649018978,15.865879243912772,0.0,0.0,-0.02,0.02,1.6,8.8,7.200000000000001,54.3,71.5,16.0,13.0,6.0,5.0,11.0,0.0905310336369705,0.0611111111111111,3.0,80.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.890444444444445,0.002,0.02,0.964,8.0,10.666666666666666,2025-10-04T04:28:07.164104,UNKNOWN,low_volatility,crecientes,crecientes,neutral,low,lateral
2.41,0.959,50.268,82.31535784103379,0.6158849034292472,5.975381649018978,15.865879243912772,0.0,8.1,0.26,8.1,1.6,8.4,6.800000000000001,54.3,71.5,16.0,13.0,5.0,5.0,10.0,0.0836861277936349,0.0555555555555555,3.0,80.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.668222222222222,0.8099999999999999,0.02,0.964,8.0,10.666666666666666,2025-10-04T04:36:34.118286,UNKNOWN,low_volatility,crecientes,crecientes,alcista,low,lateral
2.413,0.959,50.273,84.15264069676886,0.7068119109900832,5.975381649018978,15.865879243912772,0.0,8.1,0.48,8.1,1.6,8.3,6.700000000000001,54.3,71.5,16.0,13.0,5.0,4.0,9.0,0.0836861277936349,0.05,3.0,80.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.4478,0.8099999999999999,0.02,0.965,8.0,10.666666666666666,2025-10-04T04:42:26.324663,UNKNOWN,low_volatility,crecientes,crecientes,alcista,low,lateral
2.413,0.959,50.298,84.49117118835329,0.7854212204823097,5.975381649018978,15.865879243912772,0.0,8.1,0.22,8.1,1.6,7.9,6.300000000000001,54.3,71.5,16.0,13.0,6.0,5.0,11.0,0.0836861277936349,0.0611111111111111,3.0,80.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.8922444444444446,0.8099999999999999,0.02,0.965,8.0,10.666666666666666,2025-10-04T04:51:32.434575,UNKNOWN,low_volatility,crecientes,crecientes,alcista,low,lateral
2.413,0.959,50.298,84.32587930513837,0.7854212204823097,5.975381649018978,15.865879243912772,0.0,8.1,0.16,8.1,1.6,7.8,6.199999999999999,54.3,71.5,16.0,13.0,6.0,5.0,11.0,0.0836861277936349,0.0611111111111111,3.0,80.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.8922444444444446,0.8099999999999999,0.02,0.965,8.0,10.666666666666666,2025-10-04T04:53:45.242757,UNKNOWN,low_volatility,crecientes,crecientes,alcista,low,lateral
0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,0.5,15.0,5.0,2025-10-04T17:49:42.796759,UNKNOWN,unknown,unknown,unknown,neutral,balanced,lateral
2.405,0.955,50.208,83.329359970756,0.9984991057546172,3.749774205202305,15.865879243912772,0.0,0.0,0.82,0.82,0.7,18.4,17.7,21.2,40.0,13.0,13.0,3.0,3.0,6.0,0.0456050116570899,0.0333333333333333,3.0,80.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.776333333333333,0.0819999999999999,0.02,0.962,8.0,10.666666666666666,2025-10-04T21:35:12.044314,UNKNOWN,low_volatility,decrecientes,decrecientes,neutral,low,lateral
0.0,0.0,0.0,82.87003925682231,0.4967683230827416,3.749774205202305,15.865879243912772,0.0,0.0,0.0,0.0,0.5902777777777778,10.65972222222222,10.069444444444445,0.3630415387788258,0.7295768861783801,20.0,20.0,1.0,2.0,3.0,0.0783270063507075,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666667,0.0,0.05,0.5,15.0,5.0,2025-10-04T23:11:10.797098,UNKNOWN,unknown,estables,estables,neutral,low,lateral
0.0,0.0,0.0,83.17837219281931,0.4471388476733634,3.749774205202305,15.865879243912772,0.0,0.0,0.0,0.0,0.5902777777777778,10.65972222222222,10.069444444444445,0.3858134162095618,0.7316236987421446,19.0,20.0,1.0,2.0,3.0,0.0783270063507075,0.0166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666667,0.0,0.05,0.5,15.0,5.0,2025-10-05T00:01:05.035402,UNKNOWN,unknown,estables,estables,neutral,low,lateral
0.0,0.0,0.0,90.52230270682418,1.4624068569120314,4.13973842423587,16.535625668233457,0.0,0.0,0.0,0.0,4.236111111111112,16.770833333333332,12.53472222222222,0.4739061421470507,0.7847415871047594,19.0,20.0,9.0,6.0,15.0,0.1199022402902063,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.333333333333333,0.0,0.05,0.5,15.0,5.0,2025-10-05T09:31:15.754955,UNKNOWN,unknown,estables,estables,neutral,low,lateral
